Lunes,17:00 a 20:00 p.m.
Lu-Vie,06:30 a 08:00 a.m.
Lu-Vie,08:00 a 09:30 a.m.
Lu-Vie,09:30 a 11:00 a.m.
Lu-Vie,11:00 a.m. a 12:30 p.m.
Lu-Vie,13:00 a 14:30 p.m.
Lu-Vie,14:30 a 16:00 p.m.
Lu-Vie,15:00 a 16:30 p.m.
Lu-Vie,17:00 a 18:30 p.m.
Lu-Vie,18:40 a 20:10 p.m.
Lu-Vie,20:30-22:00
Lu-Mié,06:30 a 08:00 a.m.
Lu-Mié,17:00 a 18:30 p.m.
Lu-Mié,18:40 a 20:10 p.m.
Lu-Mié,20:30-22:00
Lu-Mié-Vie,06:30 a 08:00 a.m.
Lu-Mié-Vie,08:00 a 09:30 a.m.
Lu-Mié-Vie,09:00 a 10:00 a.m.
Lu-Mié-Vie,09:30 a 11:00 a.m.
Lu-Mié-Vie,10:00 a 11:00 a.m.
Lu-Mié-Vie,11:00 a.m. a 12:00 p.m.
Lu-Mié-Vie,11:00 a.m. a 12:30 p.m.
Lu-Mié-Vie,13:00 a 14:00 p.m.
Lu-Mié-Vie,13:00 a 14:30 p.m.
Lu-Mié-Vie,14:00 a 15:00 p.m.
Lu-Mié-Vie,14:30 a 16:00 p.m.
Lu-Mié-Vie,15:00 a 16:00 p.m.
Lu-Mié-Vie,15:00 a 16:30 p.m.
Lu-Mié-Vie,16:00 a 17:00 p.m.
Lu-Mié-Vie,17:00 a 18:00 p.m.
Lu-Mié-Vie,17:00 a 18:30 p.m.
Lu-Mié-Vie,18:05 a 19:05 p.m.
Lu-Mié-Vie,18:05 a 19:35 p.m.
Lu-Mié-Vie,18:40 a 20:10 p.m.
Lu-Mié-Vie,19:10 a 20:10 p.m.
Lu-Mié-Vie,20:30-22:00
Martes,16:00 a 19:00 p.m.
Martes,17:00 a 20:10 p.m.
Ma-Jue,06:30 a 08:00 a.m.
Ma-Jue,08:00 a 09:30 a.m.
Ma-Jue,09:30 a 11:00 a.m.
Ma-Jue,11:00 a.m. a 12:30 p.m.
Ma-Jue,13:00 a 14:30 p.m.
Ma-Jue,14:30 a 16:00 p.m.
Ma-Jue,15:00 a 16:30 p.m.
Ma-Jue,17:00 a 18:30 p.m.
Ma-Jue,18:40 a 20:10 p.m.
Ma-Jue,20:30-22:00 p.m.
Ma-Jue-Sáb,06:30 a 08:00 a.m.
Ma-Jue-Sáb,08:00 a 09:30 a.m.
Ma-Jue-Sáb,09:00 a 10:00 a.m.
Ma-Jue-Sáb,09:30 a 11:00 a.m.
Miércoles,06:30 a 08:00 a.m.
Miércoles,08:00 a 11:00 a.m.
Miércoles,14:30 a 16:00 p.m.
Miércoles,18:40 a 20:10 p.m.
Mié-Sáb,06:30 a 08:00 a.m.
Mié-Sáb,08:00 a 09:30 a.m.
Mié-Sáb,09:30 a 11:00 a.m.
Jueves,13:00 a 14:30 p.m.
Jueves,17:00 a 20:00 p.m.
Viernes ,09:00 a.m. a 12:00 p.m.
Viernes ,16:30 a 18:00 p.m.
Viernes ,17:00 a 20:00 p.m.
Sábado,08:00 a 11:00 a.m.
Sábado,09:00 a.m. a 12:00 p.m.
Sábado,12:00 a 15:00 p.m.
Sábado,13:00-14:30
Sábado,13:00 a 16:00 p.m.
Sábado,16:00 a 19:00 p.m.
Domingo,07:00 a 10:00 a.m.
Domingo,10:00 a.m. a 01:00 p.m.
Sáb-Dom,13:00 a 15:15 p.m. /10:00 a 12:15
Sáb-Dom,13:45 a 16:00 p.m. /10:00 a 12:15
Sáb-Dom,13:45 a 16:45 p.m.
Lu-Ma-Mié- Jue-Vie,06:30 a 07:50 a.m.
Lu-Ma-Mié- Jue-Vie,09:00 a 11:00 a.m.
Lu-Ma-Mié- Jue-Vie,14:00 a 16:00 p.m.
Lu-Ma-Mié- Jue-Vie,18:00 a 19:20 p.m.
Sábado,13:00 a 16:20 p.m.