CourseCode,CourseName,DepartmentCode,SchoolCodes
ADCC-I,Administración De Centros De Cómputo,DES,INFO
ADCC-V,Administración De Centros De Cómputo,DES,INFO
ADCO-AC,Administración De La Construcción,ARQ,CCAA
ADPI-DG,Administración De Proyectos,IND,CCAA
ADPI-I,Administración De Proyectos,IND,CCAA
ADPI-V,Administración De Proyectos (virtual),IND,CCAA
ADRE-I,Administración De Redes,RED,INFO
ALG1-E,Algoritmos I,PRO,INFO
ALG1-V,Algoritmos I,PRO,INFO
ALG2-E,Algoritmos II,PRO,INFO
APR1-I,Administración De La Producción I,IND,CCAA
APR1-V,Administración De La Producción I (virtual),IND,CCAA
ARAR-AC,Artes Gráficas I,DG,CCAA
ARAR1-V,Artes Gráficas I (virtual),DG,CCAA
ARAR2-DG,Artes Gráficas II,DG,CCAA
ARAR2-V,Artes Gráficas II (virtual),DG,CCAA
ARME-AC,Arquitectura Y Medio Ambiente,ARQ,CCAA
ARTE-T,Administración De Recursos Tecnológicos,RED,INFO
ARTE-V,Administración De Recursos Tecnológicos (virtual),RED,INFO
ARTI-DG,Arte Tipográfico,DG,CCAA
ARTI-V,Arte Tipográfico (virtual),DG,CCAA
ASEM-I,Lenguaje De Maquina,ELE,INFO
ASTD-E,Sistemas Para La Toma De Decisiones,DES,INFO
AUDS-E,Auditoría De Sistemas,DES,INFO
AUDS-V,Auditoría De Sistemas,DES,INFO
AUTO-T,Automatización Industrial Y Robótica,ELE,INFO
AUTO-V,Automatización Industrial Y Robótica (virtual),ELE,INFO
AYDS-I,Lenguaje Unificado Modelado (uml),DES,INFO
BAS1-I,Bases De Datos I,DES,INFO
BAS1-V,Base De Datos I,DES,INFO
BAS2-I,Base De Datos II,DES,INFO
BAS2-V,Base De Datos II,DES,INFO
CAL3-I,Matemática IV,MATE,CCAA
CDC1-I,Contabilidad Y Costos,IND,CCAA
CDEC-I,Costos Industriales,IND,CCAA
CIDI-I,Sistemas Digitales,ELE,INFO
CIDI-V,Sistemas Digitales (virtual),ELE,INFO
COA1-AC,Construcción Aplicada I,ARQ,CCAA
COI1-AC,Construcción E Instalaciones I,ARQ,CCAA
COSIN-V,Costos Industriales (virtual),IND,CCAA
CRED-AC,Creatividad Editorial,DG,CCAA
CRED-V,Creatividad Editorial Gráfica (virtual),DG,CCAA
CRIM-AC,Creatividad En Imagen Corporativa,DG,CCAA
CRPU-AC,Creatividad Publicitaria,DG,CCAA
CRPUD-V,Creatividad Publicitaria (virtual),DG,CCAA
CYCOI-T,Inglés Técnico III (contabilidad De Costos),IND,CCAA
DIA2-AC,Diseño Ambiental II,ARQ,CCAA
DIAM-DG,Diseño De Ambientación Gráfica,DG,CCAA
DIAM-V,Diseño De Ambientación Gráfica (virtual),DG,CCAA
DIAN-DG,Diseño De Animación,DG,CCAA
DIAN-V,Diseño De Animación (virtual),DG,CCAA
DIBA-I,Dibujo Aplicado,IND,CCAA
DIBA-V,Dibujo Aplicado (virtual),ARQ,CCAA
DIBP-H,Dibujo Publicitario,DG,CCAA
DIBP-V,Dibujo Publicitario (virtual),DG,CCAA
DIBT-I,Dibujo Técnico,ARQ,CCAA
DIBT-V,Dibujo Técnico (virtual),ARQ,CCAA
DIEP-I,Distribución En Planta,IND,CCAA
DIEP-V,Distribución En Planta (virtual),IND,CCAA
DIG1-DG,Diseño Gráfico I,DG,CCAA
DIG1-V,Diseño Grafico I (virtual),DG,CCAA
DIG2-DG,Diseño Gráfico II,DG,CCAA
DIG2-V,Diseño Grafico II (virtual),DG,CCAA
DII1-DG,Diseño De Interfaces I,DG,CCAA
DII1-V,Diseño De Interfaces I (virtual),DG,CCAA
DII2-DG,Diseño De Interfaces II,DG,CCAA
DII2-V,Diseño De Interfaces II (virtual),DG,CCAA
DII3-DG,Diseño De Interfaces III,DG,CCAA
DII3-V,Diseño De Interfaces III (virtual),DG,CCAA
DIIM-V,Diseño De Imagen Corporativa (virtual),DG,CCAA
DIIN-DG,Diseño Infográfico,DG,CCAA
DIIN-V,Diseño Infografico (virtual),DG,CCAA
DIMA-DG,Diseño De Marketing,DG,CCAA
DIMA-V,Diseño De Marketing (virtual),DG,CCAA
DIMU-DG,Diseño Multimedia,DG,CCAA
DIMU-V,Diseño De Multimedia (virtual),DG,CCAA
DINA-DG,Dibujo Natural,DG,CCAA
DINA-V,Dibujo Natural (virtual),DG,CCAA
DIPA-AC,Diseño De Páginas Web,DES,INFO
DIPA-V,Diseño De Páginas Web (virtual),DES,INFO
DISI-V,Diseño De Sistemas Industriales (virtual),IND,CCAA
DPWEB-I,Desarrollo De La Plataforma Web,DES,INFO
DPWEB-V,Desarrollo De La Plataforma Web,DES,INFO
DSIW2-T,Desarrollo De Sistemas Informáticos Web II,DES,INFO
EDGR-DG,Edición Gráfica Para T.V.,DG,CCAA
EDGR-V,Edición Gráfica Para Televisión (virtual),DG,CCAA
EI-I,Estadística Y Probabilidades,MATE,CCAA
EI-V,Estadística Y Probabilidades (virtual),MATE,CCAA
ELE1-I,Electrónica Básica,ELE,INFO
ELE1-V,Electrónica (virtual),ELE,INFO
ELIN-T,Electrónica Industrial,ELE,INFO
EMPTE-T,Emprendedurismo Tecnológico,DES,INFO
EPRO-I,Estándares De Programación,DES,INFO
ESA2-AC,Estabilidad Y Asismicidad II,ARQ,CCAA
ESPRO-V,Estándares De Programación,DES,INFO
ESTE-E,Estadística,MATE,CCAA
ESTE-V,Estadística (virtual),MATE,CCAA
ESTP-I,Estadística I,MATE,CCAA
ESTR-I,Estudio Del Trabajo,IND,CCAA
ESTR1-V,Estudio Del Trabajo I (virtual),IND,CCAA
ESTR2-V,Estudio Del Trabajo II (virtual),IND,CCAA
ET1BD-T,Diseño De Proyectos De Big Data,DES,INFO
ET1Q-T,Normas Iso (et),IND,CCAA
ET1Q-V,Normas Iso (etc1) (virtual),IND,CCAA
ET2BD-T,Análisis De Datos En Proyectos De Big Data,DES,INFO
ET2Q-T,Control Estadístico De La Calidad (etc2),IND,CCAA
ET2Q-V,Control Estadístico De La Calidad (etc2) (virtual),IND,CCAA
ET3BD-T,Elaboración De Reportes De Datos En Proyectos De Big Data,DES,INFO
ET3Q-T,Auditoría De Gestión De La Calidad (etc3),IND,CCAA
ETI1-T,Administración De La Producción II,IND,CCAA
ETI1-V,Administración De La Producción II (etl1) (virtual),IND,CCAA
ETI1I-T,Inglés Técnico VI (administración De Inventario),IND,CCAA
ETI2-T,Manejo De Materiales Y Administración De Almacenes,IND,CCAA
ETI2-V,Manejo De Material Y Administración De Almacenes (etl2) (virtual),IND,CCAA
ETI3-T,Modelos De Decisión II,IND,CCAA
ETI3-V,Modelos De Decisión II (etl3) (virtual),IND,CCAA
ETI3I-T,Inglés Técnico VIII (gestión Del Transporte),IND,CCAA
ETMO-I,Estudio Del Trabajo II,IND,CCAA
ETPR-AC,Técnicas De Presentación,DG,CCAA
ETPS1-T,Técnicas De Producción Industrial De Software I,DES,INFO
ETPS1-V,Técnicas De Producción Industrial De Software I,DES,INFO
ETPS2-T,Técnicas De Producción Industrial De Software II,DES,INFO
ETPS2-V,Técnicas De Producción Industrial De Software II,DES,INFO
ETPS3-T,Técnicas De Calidad De Software,DES,INFO
ETPS3-V,Técnicas De Calidad De Software,DES,INFO
ETPS4-T,Normas Y Estándares Internacionales,DES,INFO
ETPS4-V,Normas Y Estándares Internacionales,DES,INFO
ETS1-T,Desarrollo De Redes De Datos I,RED,INFO
ETS1-V,Desarrollo De Redes De Datos I (et1) (virtual),RED,INFO
ETS2-T,Desarrollo De Redes De Datos II,RED,INFO
ETS2-V,Desarrollo De Redes De Datos II (et2) (virtual),RED,INFO
ETS3-T,Desarrollo De Redes De Datos III,RED,INFO
ETS3-V,Desarrollo De Redes De Datos III (et3) (virtual),RED,INFO
ETS4-T,Desarrollo De Redes De Datos IV,RED,INFO
ETS4-V,Desarrollo De Redes De Datos IV (et4) (virtual),RED,INFO
EVA1-AC,Evolución De La Arquitectura I,ARQ,CCAA
EVA2-AC,Evolución De La Arquitectura II,ARQ,CCAA
EVA3-AC,Evolución De La Arquitectura III,ARQ,CCAA
EXAR-V,Expresión Arquitectónica (virtual),ARQ,CCAA
FAB-T,Introducción A Diseño Y Fabricación Digital,ELE,INFO
FEPA-I,Formulación Y Evaluación De Proyectos,ARQ,CCAA
FEPI-DG,Desarrollo De Proyectos,IND,CCAA
FEPI-I,Formulación Y Evaluación De Proyectos,IND,CCAA
FEPI-V,Formulación Y Evaluación De Proyectos,IND,CCAA
FEPII-V,Formulación Y Evaluación De Proyectos (virtual),IND,CCAA
FEPP-B,Formulación Y Evaluación De Proyectos,IND,CCAA
FEPP-I,Formulación Y Evaluación De Proyectos,IND,CCAA
FEPP-V,Formulación Y Evaluación De Proyectos (virtual),IND,CCAA
FEPS-I,Formulación Y Evaluación De Proyectos,IND,CCAA
FEPS-V,Formulación Y Evaluación De Proyectos (virtual),IND,CCAA
FES1-AC,Fundamentos Estructurales I,ARQ,CCAA
FFIS-I,Fundamentos De Física Aplicada,MATE,CCAA
FINI-T,Finanzas Industriales,IND,CCAA
FIS1-I,Física I,MATE,CCAA
FIS1-V,Física I (virtual),MATE,CCAA
FIS2-I,Física II,MATE,CCAA
FIS2-V,Física II (virtual),MATE,CCAA
FIS3-I,Física III,MATE,CCAA
FIS3-V,Física III (virtual),MATE,CCAA
FOA2-V,Fotografía Artística II (virtual),DG,CCAA
FOAR-AC,Fotografía Artística,DG,CCAA
FOAR-V,Fotografía Artística I (virtual),DG,CCAA
FOAR2-AC,Fotografía Artística II,DG,CCAA
FPPP-I,Formulación Y Evaluación De Proyectos,IND,CCAA
GCYA-I,Gestión De Compras Y Abastecimiento,IND,CCAA
GCYA-T,Inglés Técnico VII (gestión De Compras Y Abastecimiento),IND,CCAA
GEDE-AC,Geometría Descriptiva,ARQ,CCAA
GESCA-V,Gestión De La Calidad (virtual),IND,CCAA
GSAC-T,Gestión De Servicio Al Cliente,IND,CCAA
HIDI-AC,Historia Del Diseño Gráfico,DG,CCAA
HIDI-V,Historia Del Diseño Grafico (virtual),DG,CCAA
HISI-I,Admón. De La Higiene Y Seguridad Industrial,IND,CCAA
HISI-V,Higiene Y Seguridad Industrial (virtual),IND,CCAA
IACI-I,Introducción Al Análisis De Circuitos,ELE,INFO
IACI-V,Introducción Al Análisis De Circuitos (virtual),ELE,INFO
ILAP-DG,Ilustración Aplicada,DG,CCAA
ILAP-V,Ilustración Aplicada (virtual),DG,CCAA
ILUS-DG,Ilustración,DG,CCAA
ILUS-V,Ilustración (virtual),DG,CCAA
IMPR-DG,Impresión Y Producción Gráfica,DG,CCAA
IMPR-V,Impresión Y Producción Gráfica (virtual),DG,CCAA
INDP-T,Investigación Y Desarrollo Del Producto,IND,CCAA
INDP-V,Investigación Y Desarrollo Del Producto (virtual),IND,CCAA
INER-T,Instalaciones Eléctricas Residenciales,ELE,INFO
INF1-I,Informática,RED,INFO
INF1-T,Informática General,RED,INFO
INF1-V,Informática I (virtual),RED,INFO
INF1I-I,Informática,RED,INFO
INF1I-V,Informática I (virtual),RED,INFO
INFG-V,Informática General (virtual),RED,INFO
INT1-E,Internet I,RED,INFO
INVM-T,Investigación De Mercados,IND,CCAA
INVM-V,Investigación De Mercados (virtual),IND,CCAA
LEMA-V,Lenguaje De Maquina (virtual),ELE,INFO
LOAP-I,Lógica Aplicada,PRO,INFO
LOCO-N,Lógica Computacional,PRO,INFO
LOCO-V,Lógica Computacional,PRO,INFO
MACO-V,Manufactura Asistida Por Computadora (virtual),IND,CCAA
MAT1-T,Matemática I,MATE,CCAA
MAT1-V,Matemática I (virtual),MATE,CCAA
MAT2-E,Matemática II,MATE,CCAA
MAT2-I,Matemática II,MATE,CCAA
MAT2-T,Matemática II,MATE,CCAA
MAT2-V,Matemática II (virtual),MATE,CCAA
MAT2I-V,Matemática II (virtual),MATE,CCAA
MAT3-T,Matemática III,MATE,CCAA
MAT3-V,Matemática III (virtual),MATE,CCAA
MAT4-V,Matemática IV (virtual),MATE,CCAA
MATE-E,Matemática I,MATE,CCAA
MATE-V,Matemática I (virtual),MATE,CCAA
MATF-I,Matemática Financiera,MATE,CCAA
MATF-V,Matemática Financiera (virtual),MATE,CCAA
MATT-T,Matemática I,MATE,CCAA
MEPU-AC,Medios Publicitarios Gráficos,DG,CCAA
MEPU-V,Medios Publicitarios Gráficos (virtual),DG,CCAA
MET1-E,Métodos De Programación I,PRO,INFO
MOCO-T,Motores Y Controles,ELE,INFO
MODE-I,Modelos De Decisión,IND,CCAA
MODE-V,Modelos De Decisión (virtual),IND,CCAA
MODEI-I,Inglés Técnico II (modelos De Decisión),IND,CCAA
MPRO-I,Métodos Probabilísticos,MATE,CCAA
MPRO-V,Métodos Probabilísticos (virtual),MATE,CCAA
MYTI-I,Metodología Y Técnicas De La Investigación,PRO,INFO
MYTI-V,Metodología Y Técnicas De Investigación (virtual),PRO,INFO
OCOM-I,Organización De Las Computadoras,RED,INFO
OCOM-V,Organización De Las Computadoras (virtual),RED,INFO
OPFA-I,Operac. De Fabricación,IND,CCAA
OPFA-V,Operaciones De Fabricación (virtual),IND,CCAA
OPFAI-T,Inglés Técnico I (operaciones De Fabricación),IND,CCAA
ORIN-V,Organización Industrial (virtual),IND,CCAA
ORTI-I,Orientación Técnica De Ingeniería,IND,CCAA
ORTI-V,Orientación Técnica De Ingeniería (virtual),IND,CCAA
OTSO-N,Orientación Técnica Del Software,DES,INFO
OTSO-V,Orientación Técnica Del Software,DES,INFO
PAAR-AC,Patrimonio Arquitectónico,ARQ,CCAA
PELOG-DG,Pensamiento Lógico,PRO,INFO
PELOG-V,Pensamiento Logico (virtual),PRO,INFO
PEST-H,Psico-estadística,MATE,CCAA
POAR-AC,Portafolio Arquitectónico,ARQ,CCAA
PRA2A-V,Presentación Arquitectónica II (virtual),ARQ,CCAA
PRAR2-AC,Presentación Arquitectónica II,ARQ,CCAA
PROE-I,Programación Orientada A Objetos,PRO,INFO
PROE-V,Programación Orientada A Objetos,PRO,INFO
PROE-V,Programación Orientada A Objetos (virtual),PRO,INFO
PROG1-I,Programación I,PRO,INFO
PROG1-V,Programación I,PRO,INFO
PROG2-I,Programación II,PRO,INFO
PROG2-V,Programación II (virtual),PRO,INFO
PROG3-I,Programación III,PRO,INFO
PROG3-V,Programación III (virtual),PRO,INFO
PROG4-I,Programación IV,PRO,INFO
PROG4-V,Programación IV,PRO,INFO
RED1-E,Redes De Datos I,RED,INFO
RED1-V,Redes I (virtual),RED,INFO
RED2-E,Redes De Datos II,RED,INFO
RED2-V,Redes II (virtual),RED,INFO
REDA-T,Comunicaciones Y Redes De Datos,RED,INFO
REMA-AC,Resistencia De Materiales,ARQ,CCAA
SEIM-DG,Semiótica De La Imagen,DG,CCAA
SEIM-V,Semiótica De La Imagen (virtual),DG,CCAA
SICA-I,Sistema De Control Administrativo,DES,INFO
SICA-V,Sistema De Control Administrativo (virtual),DES,INFO
SICAI-T,Inglés Técnico V (sistema De Control Administrativo),IND,CCAA
SIEL-I,Sistemas Lineales Electromecánicos,ELE,INFO
SIEL-V,Sistemas Lineales Electromecánicos (virtual),ELE,INFO
SINF-I,Sistemas De Información Gerencial,DES,INFO
SINF-V,Sistemas De Información Gerencial,DES,INFO
SIOP-I,Sistemas Operativos,RED,INFO
SIOP-N,Sistemas Operativos,RED,INFO
SIOP-V,Sistemas Operativos (virtual),RED,INFO
SIOPA-V,Sistemas Operativos (virtual),RED,INFO
SIPR-T,Sistemas Integrados De Producción,DES,INFO
SIPR-V,Sistemas Integrados De Producción (virtual),DES,INFO
SIPRI-T,Inglés Técnico IV (sistemas Integrados Administrativos),IND,CCAA
SIPTD-V,Sistemas Para La Toma De Decisiones,DES,INFO
STCB-H,Seminario Taller De Competencias,PRO,INFO
STCB-V,Seminario Taller De Competencias (virtual),PRO,INFO
STRE-T,Soporte Técnico De Red,RED,INFO
TADI-AC,Taller De Diseño Bitridimensional,DG,CCAA
TADI-V,Taller De Diseño Y Modelado (virtual),DG,CCAA
TADT-DG,Taller De Diseño Tridimensional,DG,CCAA
TAI2-AC,Taller Integral II,ARQ,CCAA
TAI2-V,Taller Integral II (virtual),ARQ,CCAA
TAI4-AC,Taller Integral IV,ARQ,CCAA
TAI4-V,Taller Integral IV (virtual),ARQ,CCAA
TAI6-AC,Taller Integral VI,ARQ,CCAA
TAI8-AC,Taller Integral VIII,ARQ,CCAA
TAPO-DG,Taller De Portafolio,DG,CCAA
TAPO-V,Taller De Portafolio (virtual),DG,CCAA
TCMD-DG,Taller De Creatividad Y Métodos De Diseño,DG,CCAA
TCMD-V,Taller De Creatividad Y Métodos De Diseño (virtual),DG,CCAA
TECG-DG,Teoría De La Comunicación Gráfica,DG,CCAA
TECG-V,Teoría De La Comunicación Gráfica (virtual),DG,CCAA
TED1-AC,Tecnología Digital I,DG,CCAA
TED2-AC,Tecnología Digital II,DG,CCAA
TED2-V,Tecnología Digital II (virtual),DG,CCAA
TED3-AC,Tecnología Digital III,DG,CCAA
TED3-V,Tecnología Digital III (virtual),DG,CCAA
TEDI-V,Tecnología Digital I (virtual),DG,CCAA
TEPR-V,Técnicas De Presentación Gráfica (virtual),DG,CCAA
TER2-T,Tecnología Certificada En Redes II,RED,INFO
TER4-T,Tecnología Certificada En Redes IV,RED,INFO
TESE-AC,Técnicas Serigráficas,DG,CCAA
TETC-N,Tendencias Tecnológicas Y De Management,DES,INFO
TETC-V,Tendencias Tecnológicas Y De Management,DES,INFO
TICO-N,Tecnología De La Información En Las Comunicaciones,RED,INFO
TICO-V,Tecnología De La Información En Las Comunicaciones (virtual),RED,INFO
TOP1-I,Topografía I,ARQ,CCAA
TPR1-N,Técnicas De Programación I,PRO,INFO
TPR1-V,Técnicas De Programación I (virtual),PRO,INFO
TPR2-N,Técnicas De Programación II,PRO,INFO
TPR2-V,Técnicas De Programación II (virtual),PRO,INFO
UML-V,Lenguaje Unificado De Modelado (uml),DES,INFO
URB-V,Urbanismo (virtual),ARQ,CCAA
